cell	genome	accession	phylum	refseq_annotation_release	query_gff3	query_gene_count	ref_gff3	ref_gene_count	gffcompare_base_level_sensitivity	gffcompare_base_level_precision	gffcompare_exon_level_sensitivity	gffcompare_exon_level_precision	gffcompare_intron_level_sensitivity	gffcompare_intron_level_precision	gffcompare_intron_chain_level_sensitivity	gffcompare_intron_chain_level_precision	gffcompare_transcript_level_sensitivity	gffcompare_transcript_level_precision	gffcompare_locus_level_sensitivity	gffcompare_locus_level_precision	gffcompare_missed_exons_pct	gffcompare_novel_exons_pct	gffcompare_missed_introns_pct	gffcompare_novel_introns_pct	gffcompare_missed_loci_pct	gffcompare_novel_loci_pct	overlap_query_genes	overlap_ref_genes	overlap_query_genes_overlapping_ref	overlap_query_genes_overlap_same_strand	overlap_query_genes_overlap_opposite_strand	overlap_query_genes_no_overlap	overlap_ref_genes_not_recovered	compare_status
v1.8.17_conda	Trichosporon_asahii_CBS_2479	GCF_000293215.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Trichosporon_asahii_CBS_2479/predict_results/Trichosporon_asahii_CBS_2479.gff3	8614	results/reference_annotations/.cache/GCF_000293215.1_Trichosporon_asahii_1_genomic.gff	8834	86.3	91.5	50.6	43.8	46.7	37.6	25.0	22.1	32.2	33.0	32.2	33.0	12.2	18.9	12.9	27.0	8.7	6.3	8614	8834	8129	8071	102	485	717	compared
v1.8.17_conda	Umbelopsis_ramanniana_AG	GCF_025399195.1	Mucoromycota	legacy	runs/v1.8.17_conda/genome_annotation/Umbelopsis_ramanniana_AG/predict_results/Umbelopsis_ramanniana_AG.gff3	8714	results/reference_annotations/.cache/GCF_025399195.1_Umbra1_genomic.gff	10037	79.4	91.0	64.5	64.8	85.0	82.3	44.5	46.9	40.6	46.8	42.9	46.8	8.4	7.2	7.6	11.2	9.5	4.1	8714	10037	8412	8356	895	302	803	compared
v1.8.17_conda	Uncinocarpus_reesii_1704	GCF_000003515.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Uncinocarpus_reesii_1704/predict_results/Uncinocarpus_reesii_1704.gff3	7581	results/reference_annotations/.cache/GCF_000003515.1_ASM351v2_genomic.gff	7855	93.8	92.2	63.9	64.2	67.3	66.6	41.1	42.9	44.4	46.0	44.4	46.0	12.8	13.0	17.4	15.9	9.5	4.4	7581	7855	7308	7247	89	273	685	compared
v1.8.17_conda	Wallemia_mellicola_CBS_633.66	GCF_000263375.1	Basidiomycota	legacy	runs/v1.8.17_conda/genome_annotation/Wallemia_mellicola_CBS_633.66/predict_results/Wallemia_mellicola_CBS_633.66.gff3	4929	results/reference_annotations/.cache/GCF_000263375.1_Wallemia_sebi_v1.0_genomic.gff	5393	76.4	94.3	64.8	68.8	79.2	83.0	48.6	51.3	47.0	51.4	50.0	51.4	11.9	5.8	14.3	10.5	6.4	2.0	4929	5393	4855	4830	1407	74	264	compared
v1.8.17_conda	Zygosaccharomyces_rouxii_CBS_732	GCF_000026365.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Zygosaccharomyces_rouxii_CBS_732/predict_results/Zygosaccharomyces_rouxii_CBS_732.gff3	4897	results/reference_annotations/.cache/GCF_000026365.1_ASM2636v1_genomic.gff	5323	95.7	99.1	72.6	69.1	44.5	10.6	41.7	10.2	74.7	81.2	74.7	81.2	6.5	4.1	37.3	85.0	5.8	1.3	4897	5323	4844	4835	53	53	270	compared
v1.8.17_conda	Zymoseptoria_tritici_IPO323	GCF_000219625.1	Ascomycota	legacy	runs/v1.8.17_conda/genome_annotation/Zymoseptoria_tritici_IPO323/predict_results/Zymoseptoria_tritici_IPO323.gff3	11672	results/reference_annotations/.cache/GCF_000219625.1_MYCGR_v2.0_genomic.gff	10941	87.8	82.4	48.0	50.4	60.3	68.2	43.6	42.2	46.2	43.3	46.3	43.3	16.9	16.8	30.3	20.8	9.5	12.9	11672	10941	10367	10186	276	1305	953	compared
v1.8.17_container	Aspergillus_clavatus_NRRL_1	GCF_000002715.2	Ascomycota	legacy																														no_predict_output
v1.8.17_container	Blastomyces_dermatitidis_ER-3	GCF_000003525.1	Ascomycota	legacy																														no_predict_output
v1.8.17_container	Chaetomium_globosum_CBS_148.51	GCF_000143365.1	Ascomycota	legacy																														no_predict_output
v1.8.17_container	Cystobasidium_minutum_MCA_4210	GCF_039999085.1	Basidiomycota	legacy																														no_predict_output
v1.8.17_container	Laccaria_bicolor_S238N-H82	GCF_000143565.1	Basidiomycota	legacy																														no_predict_output
v1.8.17_container	Leptographium_clavigerum_kw1407	GCF_000143105.1	Ascomycota	legacy																														no_predict_output
v1.8.17_container	Malassezia_sympodialis_ATCC_42132	GCF_000349305.1	Basidiomycota	legacy																														no_predict_output
v1.8.17_container	Mixia_osmundae_IAM_14324	GCF_000708205.1	Basidiomycota	legacy																														no_predict_output
v1.8.17_container	Parastagonospora_nodorum_SN15	GCF_000146915.1	Ascomycota	legacy																														no_predict_output
v1.8.17_container	Phycomyces_blakesleeanus_NRRL_1555_-	GCF_001638985.1	Mucoromycota	legacy																														no_predict_output
v1.8.17_container	Pneumocystis_murina_B123	GCF_000349005.2	Ascomycota	legacy																														no_predict_output
v1.8.17_container	Pyrenophora_teres_0-1	GCF_000166005.1	Ascomycota	legacy																														no_predict_output
v1.8.17_container	Pyrenophora_tritici-repentis_Pt-1C-BFP	GCF_000149985.1	Ascomycota	legacy																														no_predict_output
v1.8.17_container	Rhodotorula_graminis_WP1	GCF_001329695.1	Basidiomycota	legacy																														no_predict_output
v1.8.17_container	Schizophyllum_commune_H4-8	GCF_000143185.2	Basidiomycota	legacy																														no_predict_output
v1.8.17_container	Tremella_mesenterica_Fries	GCF_000271645.1	Basidiomycota	legacy																														no_predict_output
v1.8.17_container	Wallemia_mellicola_CBS_633.66	GCF_000263375.1	Basidiomycota	legacy																														no_predict_output
